,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
973,1998-891,Chennai,Hard,32,A,19980406,31,102158,1.0,,Patrick Rafter,R,185.0,AUS,25.2,102025,5.0,,Mikael Tillstrom,R,185.0,SWE,26.0,6-3 6-4,3,F,74.0,3.0,2.0,65.0,42.0,30.0,11.0,10.0,7.0,9.0,2.0,6.0,54.0,29.0,12.0,15.0,9.0,3.0,7.0,4.0,3211.0,86.0,546.0
1004,1998-468,Estoril,Clay,32,A,19980406,31,102238,3.0,,Alberto Berasategui,R,173.0,ESP,24.7,101404,6.0,,Thomas Muster,L,180.0,AUT,30.5,3-6 6-1 6-3,3,F,87.0,3.0,4.0,76.0,56.0,34.0,11.0,12.0,2.0,6.0,1.0,1.0,75.0,43.0,25.0,13.0,13.0,5.0,12.0,18.0,1637.0,30.0,1258.0
1035,1998-336,Hong Kong,Hard,32,A,19980406,31,102202,8.0,,Kenneth Carlsen,L,190.0,DEN,24.9,101647,,,Byron Black,R,175.0,ZIM,28.4,6-2 6-0,3,F,72.0,5.0,2.0,37.0,19.0,18.0,9.0,7.0,3.0,4.0,2.0,3.0,59.0,36.0,15.0,9.0,7.0,6.0,12.0,76.0,603.0,80.0,579.0
1090,1998-425,Barcelona,Clay,56,A,19980413,55,101774,,,Todd Martin,R,198.0,USA,27.7,102238,7.0,,Alberto Berasategui,R,173.0,ESP,24.7,6-2 1-6 6-3 6-2,5,F,120.0,10.0,6.0,104.0,61.0,48.0,15.0,16.0,9.0,13.0,2.0,4.0,103.0,73.0,43.0,13.0,16.0,8.0,15.0,65.0,703.0,16.0,1820.0
1145,1998-329,Tokyo,Hard,56,A,19980413,55,102318,16.0,,Andrei Pavel,R,183.0,ROU,24.2,101647,10.0,,Byron Black,R,175.0,ZIM,28.5,6-3 6-4,3,F,60.0,3.0,1.0,60.0,35.0,26.0,16.0,10.0,2.0,3.0,1.0,0.0,52.0,34.0,25.0,7.0,9.0,4.0,7.0,109.0,439.0,67.0,682.0
1204,1998-410,Monte Carlo Masters,Clay,56,M,19980420,55,102845,14.0,,Carlos Moya,R,190.0,ESP,21.6,101611,10.0,,Cedric Pioline,R,188.0,FRA,28.8,6-3 6-0 7-5,5,F,117.0,5.0,1.0,79.0,49.0,31.0,17.0,14.0,3.0,7.0,1.0,6.0,90.0,50.0,21.0,16.0,13.0,11.0,20.0,18.0,1727.0,16.0,1771.0
1235,1998-717,Orlando,Clay,32,A,19980420,31,101793,3.0,,Jim Courier,R,185.0,USA,27.6,102021,1.0,,Michael Chang,R,175.0,USA,26.1,7-5 3-6 7-5,3,F,164.0,3.0,4.0,108.0,70.0,54.0,17.0,16.0,7.0,9.0,13.0,1.0,103.0,61.0,46.0,20.0,17.0,4.0,7.0,57.0,841.0,12.0,2035.0
1266,1998-409,Atlanta,Clay,32,A,19980427,31,101948,1.0,,Pete Sampras,R,185.0,USA,26.7,101727,2.0,,Jason Stoltenberg,R,185.0,AUS,28.0,6-7(2) 6-3 7-6(4),3,F,160.0,7.0,5.0,116.0,71.0,55.0,25.0,17.0,6.0,7.0,15.0,13.0,153.0,82.0,58.0,36.0,16.0,14.0,16.0,1.0,3632.0,42.0,950.0
1297,1998-308,Munich,Clay,32,A,19980427,31,102358,7.0,,Thomas Enqvist,R,190.0,SWE,24.1,101736,8.0,,Andre Agassi,R,180.0,USA,27.9,6-7(4) 7-6(6) 6-3,3,F,139.0,21.0,2.0,118.0,68.0,49.0,25.0,17.0,9.0,12.0,10.0,0.0,111.0,79.0,49.0,17.0,16.0,7.0,11.0,21.0,1574.0,20.0,1589.0
1328,1998-379,Prague,Clay,32,A,19980427,31,101897,,,Fernando Meligeni,L,180.0,BRA,27.0,101792,,,Slava Dosedel,R,183.0,CZE,27.7,6-1 6-4,3,F,80.0,0.0,2.0,58.0,37.0,26.0,9.0,9.0,6.0,8.0,1.0,3.0,59.0,34.0,18.0,9.0,8.0,5.0,10.0,75.0,605.0,47.0,905.0
1391,1998-499,Coral Springs,Clay,32,A,19980504,31,102776,,Q,Andrew Ilie,R,180.0,AUS,22.0,102106,8.0,,Davide Sanguinetti,R,188.0,ITA,25.6,7-5 6-4,3,F,88.0,2.0,5.0,78.0,33.0,25.0,24.0,11.0,8.0,10.0,6.0,1.0,72.0,39.0,28.0,12.0,11.0,2.0,6.0,169.0,271.0,83.0,574.0
1446,1998-414,Hamburg Masters,Clay,56,M,19980504,55,102610,,,Albert Costa,R,180.0,ESP,22.8,102374,4.0,,Alex Corretja,R,180.0,ESP,24.0,6-2 6-0 1-0 RET,3,F,72.0,0.0,0.0,50.0,41.0,30.0,5.0,8.0,4.0,5.0,1.0,2.0,50.0,25.0,12.0,7.0,8.0,3.0,9.0,26.0,1308.0,9.0,2202.0
1509,1998-416,Rome Masters,Clay,64,M,19980511,63,102701,3.0,,Marcelo Rios,L,175.0,CHI,22.3,102610,,,Albert Costa,R,180.0,ESP,22.8,W/O,3,F,,,,,,,,,,,,,,,,,,,,3.0,3200.0,20.0,1729.0
1518,1998-615,Dusseldorf,Clay,32,A,19980518,9,103163,,,Tommy Haas,R,188.0,GER,20.1,101792,,,Slava Dosedel,R,183.0,CZE,27.7,6-1 6-4,3,F,75.0,3.0,2.0,61.0,33.0,23.0,14.0,9.0,3.0,5.0,2.0,1.0,60.0,35.0,17.0,11.0,8.0,8.0,13.0,43.0,903.0,41.0,943.0
1564,1998-306,St. Poelten,Clay,32,A,19980518,31,102701,1.0,,Marcelo Rios,L,175.0,CHI,22.3,102434,,,Vincent Spadea,R,183.0,USA,23.8,6-2 6-0,3,F,51.0,1.0,0.0,44.0,28.0,22.0,8.0,7.0,0.0,1.0,0.0,0.0,37.0,29.0,9.0,2.0,7.0,2.0,8.0,3.0,3348.0,62.0,752.0
1691,1998-520,Roland Garros,Clay,128,G,19980525,127,102845,12.0,,Carlos Moya,R,190.0,ESP,21.7,102374,14.0,,Alex Corretja,R,180.0,ESP,24.1,6-3 7-5 6-3,5,F,133.0,4.0,0.0,93.0,57.0,42.0,21.0,15.0,4.0,6.0,2.0,3.0,111.0,58.0,38.0,22.0,15.0,12.0,18.0,12.0,2042.0,14.0,1989.0
1722,1998-312,Bologna,Clay,32,A,19980608,31,103031,3.0,,Julian Alonso,R,185.0,ESP,20.8,102223,6.0,,Karim Alami,R,185.0,MAR,25.0,6-1 6-4,3,F,57.0,4.0,2.0,52.0,27.0,20.0,15.0,9.0,4.0,5.0,0.0,2.0,47.0,30.0,17.0,6.0,8.0,3.0,7.0,39.0,965.0,56.0,797.0
1753,1998-500,Halle,Grass,32,A,19980608,31,102338,2.0,,Yevgeny Kafelnikov,R,190.0,RUS,24.3,101723,,,Magnus Larsson,R,193.0,SWE,28.2,6-4 6-4,3,F,68.0,11.0,8.0,68.0,38.0,31.0,11.0,10.0,2.0,4.0,7.0,4.0,59.0,34.0,25.0,10.0,10.0,6.0,10.0,7.0,2717.0,51.0,825.0
1808,1998-311,Queen's Club,Grass,56,A,19980608,55,102401,,,Scott Draper,L,178.0,AUS,24.0,102133,,Q,Laurence Tieleman,R,180.0,ITA,25.5,7-6(5) 6-4,3,F,72.0,10.0,1.0,67.0,37.0,31.0,20.0,11.0,0.0,0.0,7.0,3.0,67.0,37.0,33.0,15.0,11.0,1.0,2.0,108.0,456.0,253.0,156.0
1839,1998-741,Nottingham,Grass,32,A,19980615,31,102035,2.0,,Jonas Bjorkman,R,183.0,SWE,26.2,101647,7.0,,Byron Black,R,175.0,ZIM,28.6,6-3 6-2,3,F,56.0,7.0,3.0,48.0,26.0,23.0,9.0,8.0,0.0,1.0,0.0,3.0,46.0,23.0,13.0,11.0,9.0,2.0,7.0,9.0,2480.0,40.0,974.0
1870,1998-440,s Hertogenbosch,Grass,32,A,19980615,31,102158,1.0,,Patrick Rafter,R,185.0,AUS,25.4,210013,,,Martin Damm Sr,R,188.0,CZE,25.8,7-6(2) 6-2,3,F,72.0,12.0,3.0,56.0,37.0,31.0,14.0,10.0,0.0,0.0,3.0,3.0,57.0,35.0,25.0,11.0,10.0,2.0,4.0,6.0,2715.0,,
