player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
104026,Joachim,Johansson,R,19820701.0,SWE,198.0,Q353293
104035,Bobby,Reynolds,R,19820717.0,USA,183.0,Q512728
104043,Marc,Lopez,R,19820731.0,ESP,175.0,Q369866
104053,Andy,Roddick,R,19820830.0,USA,188.0,Q54584
104056,Roko,Karanusic,R,19820905.0,CRO,183.0,Q458079
104068,Robby,Ginepri,R,19821007.0,USA,183.0,Q53551
104070,Jesse,Witten,R,19821015.0,USA,178.0,Q1993232
104071,Raven,Klaasen,R,19821016.0,RSA,178.0,Q778206
104076,Jose,Acasuso,R,19821020.0,ARG,190.0,Q299930
104081,Boris,Pashanski,R,19821103.0,SRB,180.0,Q893753
104082,Hiroki,Kondo,R,19821105.0,JPN,178.0,Q13513035
104091,Miguel Angel,Lopez Jaen,R,19821129.0,ESP,188.0,Q6844926
104095,David,Guez,R,19821208.0,FRA,185.0,Q1993828
104098,Dmitry,Tursunov,R,19821212.0,RUS,185.0,Q310376
104112,Benjamin,Balleret,R,19830115.0,MON,185.0,Q2080514
104117,Giovanni,Lapentti,R,19830125.0,ECU,193.0,Q2632825
104121,Tobias,Summerer,R,19830201.0,GER,185.0,Q7811667
104122,Carlos,Berlocq,R,19830203.0,ARG,183.0,Q440468
104136,Santiago,Gonzalez,R,19830224.0,MEX,191.0,Q552678
104149,Adrian,Cruciat,R,19830331.0,ROU,185.0,Q4684958
104154,Paul,Capdeville,R,19830402.0,CHI,190.0,Q444989
104160,Lukas,Dlouhy,R,19830409.0,CZE,185.0,Q355305
104166,Alex,Bogomolov Jr,R,19830423.0,RUS,178.0,Q440482
104167,Todd,Widom,R,19830424.0,USA,,Q7812709
104171,Richard,Bloomfield,R,19830427.0,GBR,185.0,Q4177003
104173,Sam,Warburg,R,19830429.0,USA,190.0,Q4180445
104180,Gilles,Muller,L,19830509.0,LUX,193.0,Q314304
104182,Sasa,Tuksar,R,19830512.0,CRO,180.0,Q7429514
104195,Simone,Vagnozzi,R,19830530.0,ITA,173.0,Q1637195
104196,Carlos,Cuadrado,R,19830601.0,ESP,180.0,Q2939323
104198,Guillermo,Garcia Lopez,R,19830604.0,ESP,188.0,Q304724
104209,Rainer,Eitzinger,R,19830628.0,AUT,178.0,Q3929654
104214,Igor,Andreev,R,19830714.0,RUS,185.0,Q296183
104216,Maximo,Gonzalez,R,19830720.0,ARG,173.0,Q512199
104217,Simon,Stadler,L,19830720.0,GER,183.0,Q90583
104219,Stephane,Bohli,R,19830725.0,SUI,185.0,Q669565
104224,Travis,Rettenmaier,R,19830806.0,USA,188.0,Q519294
104225,Jan,Hajek,R,19830807.0,CZE,180.0,Q942494
104226,Bastian,Knittel,L,19830808.0,GER,180.0,Q107961
104227,Augustin,Gensse,R,19830810.0,FRA,180.0,Q3496211
104229,Yen Hsun,Lu,R,19830814.0,TPE,180.0,Q313144
104230,Daniel,Koellerer,R,19830817.0,AUT,180.0,Q460410
104250,Prakash,Amritraj,R,19831002.0,IND,188.0,Q2634193
104252,Florian,Mayer,R,19831005.0,GER,190.0,Q77170
104256,Clement,Reix,U,19831009.0,FRA,,Q23831313
104259,Philipp,Kohlschreiber,R,19831016.0,GER,178.0,Q77149
104261,Peng,Sun,R,19831019.0,CHN,,Q3505907
104262,Flavio,Cipolla,R,19831020.0,ITA,173.0,Q185462
104268,Alejandro,Falla,L,19831114.0,COL,185.0,Q357215
104269,Fernando,Verdasco,L,19831115.0,ESP,188.0,Q191740
104273,Edouard,Roger-Vasselin,R,19831128.0,FRA,185.0,Q274441
104281,Ryler,Deheart,L,19840103.0,USA,183.0,Q2178260
